Affiliation,K2_count,Kepler_count,CarnegieClass
IAC Instituto de Astrofísica de Canarias,,1,-2.0
McGill Space Institute,,1,-2.0
LESIA - Paris Observatory - PSL,,1,-2.0
Institut for Fysik og Astronomi,,1,-2.0
KTH Royal Institute of Technology,,1,-2.0
Justus-Liebig-Universität,,1,-2.0
Nanjing University Key Laboratory of Modern Astronomy and Astrophysics in Ministry of Education,,1,-2.0
Nanjing University of Information Science and Technology,,1,-2.0
Max Planck Institut für Astrophysik,,1,-2.0
James Cook University,,1,-2.0
Jagiellonian University,,1,-2.0
Izmir Turk College Planetarium,,1,-2.0
International Education and Research Center of Science,,1,-2.0
FACom—Instituto de Física—FCEN,,1,-2.0
Institut de Plantologie et d'Astrophysique de Grenoble (IPAG) UMR 5274,,1,-2.0
Instituto de astronom'a y ciencias planetarias,,1,-2.0
National Institute for Astrophysics,,1,-2.0
National Institute for Space Research (INPE),,1,-2.0
National Institute of Standards and Technology,,1,-3.0
Instituto de Geofísica,,1,-2.0
Jyoti Nivas College,,1,-2.0
NASA Marshall Space Flight Center,,1,-4.0
LESIA - Observatoire de Paris,,1,-2.0
Fisk University,,1,21.0
Georgia College & State University,,1,18.0
Indian Institute of Technology Kharagpur,,1,-2.0
Kutztown University of Pennsylvania,,1,18.0
Monash Centre for Astrophysics (MoCA),,1,-2.0
Monash University,,1,-2.0
Georg-August-University Goettingen,,1,-2.0
Institut Astrophysique de Paris,,1,-2.0
Korea Institute for Advanced Study,,1,-2.0
Mount Suhora Observatory,,1,-2.0
Florida Gulf Coast University,,1,17.0
Korea Astronomy and Space Science Institute (KASI),,1,-2.0
N. Copernicus Astronomical Center,,1,-2.0
N. Copernicus Astronomical Center of the Polish Academy of Sciences,,1,-2.0
Institut Utinam,,1,-2.0
Konkoly ge Miklós Astronomical Institute,,1,-2.0
Lockheed Martin,,1,-3.0
Southeast University,,1,-2.0
Observatory Cape 2735,,1,-2.0
CEA/DSM-CNRS-Université Paris 7,,1,-2.0
Bd de l'Observatoire,,1,-2.0
Bard College,,1,21.0
University of Glasgow,,1,-2.0
Australia National University,,1,-2.0
University of Illinois Urbana-Champaign,,1,15.0
University of Ioannina,,1,-2.0
University of Kent,,1,-2.0
Astrophysikalisches Institut und Universitätssternwarte,,1,-2.0
University of London,,1,-2.0
Astrophysical Observatory of Torino,,1,-2.0
University of Nebraska-Lincoln,,1,15.0
Astronomical Observatory of the Autonomous Region of the Aosta Valley,,1,-2.0
Astronomical Institute of the Wrocław University,,1,-2.0
Astronomical Institute `Anton Pannekoek',,1,-2.0
University of Padova,,1,-2.0
University of Paris 06,,1,-2.0
University of Pittsburgh-Pittsburgh Campus,,1,15.0
University of Rome,,1,-2.0
University of Science and Technology of China,,1,-2.0
Astro Space Centre,,1,-2.0
University of Sofia,,1,-2.0
University of South Africa,,1,-2.0
Appalachian State University,,1,18.0
Apdo. postal 70-264 Ciudad Universitaria Mexico,,1,-2.0
Apache Point Observatory,,1,-3.0
University of Delhi,,1,-2.0
University of Colorado at Boulder,,1,15.0
University of Colorado and National Institute of Standards and Technology,,1,-2.0
Bulgaria and Institute of Astronomy and National Astronomical Observatory,,1,-2.0
